week,icb,synthetic_dgp_version,resp_111_calls,bed_occupancy,dtoc_patients,ae_type1_attendances,ed_4hr_breach_count,ambulance_category_red_calls,elective_admissions,elective_cancellations,acute_admissions_nonelective,total_discharges,staff_absence_rate_pct,critical_care_occupancy_pct,mental_health_inpatient_beds_occ_pct,delayed_transfers_ge_21_days,ooh_primary_care_contacts,community_crisis_team_contacts,gp_same_day_booking_rate_pct,nhs_111_online_assessments_completed,social_care_package_delays_new,infection_isolation_beds_occupied,mean_los_acute_days,winter_pressure_index_demo
10,NHS Birmingham and Solihull ICB,2026.04.5,125.0,97.98080120902526,8.0,1019.0,136.0,69.0,409.0,54.0,652.0,1056.0,7.9479288804218,79.50392461549166,81.4147198800712,67.0,1317.0,259.0,39.67411938012116,1905.0,35.0,18.0,5.635384365293014,5.085146664146564
11,NHS Birmingham and Solihull ICB,2026.04.5,79.0,92.90635528142002,6.0,980.0,153.0,61.0,300.0,63.0,658.0,958.0,7.576316305803487,82.40918357768065,81.68992611811892,62.0,1263.0,257.0,38.97415845486233,1980.0,56.0,23.0,5.40859931999168,4.54827057925636
12,NHS Birmingham and Solihull ICB,2026.04.5,165.0,94.27658498184098,4.0,940.0,119.0,68.0,410.0,66.0,642.0,1017.0,7.500930217312801,78.56243394027439,81.63626530195761,85.0,1311.0,228.0,39.84157901441796,1953.0,35.0,21.0,5.63993527890146,4.155320363453697
13,NHS Birmingham and Solihull ICB,2026.04.5,90.0,90.51568609549643,4.0,951.0,125.0,61.0,373.0,36.0,606.0,944.0,7.203283602860007,73.67403880955034,85.7523337802216,69.0,1333.0,256.0,36.24895048531291,1667.0,39.0,23.0,6.390745853165055,4.190004729221138
14,NHS Birmingham and Solihull ICB,2026.04.5,,89.14902492260264,5.0,897.0,111.0,53.0,369.0,32.0,600.0,983.0,5.6685651052050146,78.60939499991888,87.79308390176452,70.0,1306.0,241.0,38.31269536372167,1947.0,47.0,21.0,5.048203989112272,4.404640084167688
15,NHS Birmingham and Solihull ICB,2026.04.5,59.0,90.29491281964177,7.0,920.0,113.0,55.0,357.0,39.0,615.0,957.0,7.146360341544264,80.28070182012043,83.47628057752941,60.0,1301.0,268.0,38.72547656910945,1939.0,32.0,22.0,5.111520096314745,3.769831063995129
16,NHS Birmingham and Solihull ICB,2026.04.5,65.0,91.2911165426251,4.0,891.0,172.0,39.0,385.0,43.0,534.0,929.0,5.936449554003108,80.6470606929261,78.48247624795619,64.0,1374.0,248.0,43.267031757842304,1991.0,52.0,21.0,5.555568169956606,4.645415893838878
17,NHS Birmingham and Solihull ICB,2026.04.5,73.0,91.78511643277292,1.0,927.0,86.0,57.0,289.0,23.0,589.0,916.0,7.513243487626476,77.86026243345428,80.55824564466324,40.0,1340.0,207.0,38.459160862196896,1748.0,41.0,24.0,5.912845930011209,4.088063879971998
18,NHS Birmingham and Solihull ICB,2026.04.5,,95.488245378484,3.0,936.0,95.0,57.0,365.0,48.0,572.0,925.0,5.902384290088682,79.86575861844854,78.86002047177728,60.0,1320.0,238.0,34.03010044646989,1919.0,29.0,17.0,5.181329819953207,4.3082131318296435
19,NHS Birmingham and Solihull ICB,2026.04.5,55.0,100.05390426205378,5.0,950.0,99.0,47.0,399.0,44.0,657.0,1018.0,6.2575733613120565,82.01558984898675,78.9203938904454,58.0,1261.0,249.0,38.73294621063442,1891.0,26.0,23.0,5.178655323772883,4.581846830134949
20,NHS Birmingham and Solihull ICB,2026.04.5,64.0,92.48855052685005,4.0,953.0,68.0,48.0,373.0,49.0,561.0,865.0,5.536119486799891,78.6173395975361,82.05912964465945,52.0,1319.0,235.0,41.95050067494875,1809.0,45.0,16.0,5.701534357431479,4.142728447380227
21,NHS Birmingham and Solihull ICB,2026.04.5,77.0,91.40495781588857,7.0,877.0,101.0,60.0,382.0,48.0,605.0,964.0,5.294049013575043,80.59511048957458,85.54386103396509,39.0,1311.0,276.0,38.685829542777796,2032.0,15.0,17.0,5.541154665522386,4.337809639578863
22,NHS Birmingham and Solihull ICB,2026.04.5,58.0,92.78909700106114,4.0,959.0,90.0,57.0,367.0,20.0,640.0,1005.0,5.98898702357685,80.02493398444578,78.57505483947476,44.0,1391.0,211.0,35.32480661119326,1863.0,41.0,26.0,5.5313067030888154,3.7580015073602206
23,NHS Birmingham and Solihull ICB,2026.04.5,63.0,97.23945535766558,3.0,938.0,121.0,52.0,372.0,36.0,562.0,906.0,4.675140867057005,80.27240819988896,83.41957778077867,41.0,1211.0,252.0,38.3098829843495,1814.0,34.0,20.0,5.211211178878432,3.8362629420062957
24,NHS Birmingham and Solihull ICB,2026.04.5,,87.92226631065024,3.0,833.0,86.0,44.0,364.0,36.0,559.0,867.0,5.729728563382585,71.73091993238216,77.73192275955316,32.0,1220.0,225.0,36.22398251098765,1892.0,26.0,21.0,5.874397764152779,3.6305768090220183
25,NHS Birmingham and Solihull ICB,2026.04.5,43.0,85.0615302575274,5.0,869.0,124.0,53.0,359.0,29.0,529.0,865.0,5.510734231177299,72.58291460930793,72.99793324527568,45.0,1142.0,159.0,42.45214616776408,1929.0,36.0,17.0,5.19400608290775,3.565786679225996
26,NHS Birmingham and Solihull ICB,2026.04.5,34.0,84.75520193924274,1.0,821.0,85.0,53.0,428.0,18.0,608.0,1024.0,6.837198268768579,67.16245484890477,75.33911669679749,41.0,1210.0,173.0,42.618221259475504,1996.0,34.0,21.0,5.596155369135849,3.7759170042326415
27,NHS Birmingham and Solihull ICB,2026.04.5,37.0,84.58976021461984,6.0,869.0,112.0,42.0,452.0,37.0,634.0,1048.0,5.833051539214121,75.07103033470875,79.25458926185739,42.0,1276.0,227.0,38.65049835936295,1916.0,48.0,14.0,5.15574147596217,3.847984097500647
28,NHS Birmingham and Solihull ICB,2026.04.5,56.0,84.43330457533118,2.0,831.0,79.0,53.0,364.0,46.0,559.0,919.0,5.760901003363325,81.3899010294611,88.75690505932049,61.0,1295.0,208.0,43.49315066588514,1936.0,15.0,15.0,5.602854944156489,4.220969971353795
29,NHS Birmingham and Solihull ICB,2026.04.5,38.0,91.34708479259648,2.0,867.0,103.0,43.0,315.0,25.0,610.0,942.0,6.265843329600546,76.12448212503179,78.24434810831447,37.0,1360.0,234.0,40.13910954647045,1930.0,22.0,27.0,4.971392720578436,3.3296833433927104
30,NHS Birmingham and Solihull ICB,2026.04.5,39.0,89.6006813335586,4.0,874.0,62.0,57.0,347.0,26.0,567.0,913.0,5.469523415137659,70.63246564930627,77.58849823994298,46.0,1229.0,192.0,38.56436101710282,1748.0,49.0,21.0,4.917628687025663,3.701874335014017
31,NHS Birmingham and Solihull ICB,2026.04.5,25.0,89.25943800910935,3.0,959.0,70.0,52.0,415.0,40.0,469.0,891.0,3.899827902973394,74.42537922478586,81.79398479509206,47.0,1210.0,232.0,40.58735823412143,1919.0,46.0,20.0,5.124083651711833,4.61264323953823
32,NHS Birmingham and Solihull ICB,2026.04.5,29.0,82.27270421779185,2.0,806.0,62.0,45.0,360.0,28.0,530.0,857.0,6.146688074455482,70.04518312225073,79.07257409282543,34.0,1186.0,254.0,40.947947413685014,1976.0,34.0,9.0,5.244194484722439,3.7444084494591716
33,NHS Birmingham and Solihull ICB,2026.04.5,31.0,85.29746403836695,2.0,803.0,71.0,60.0,394.0,38.0,591.0,925.0,3.9530309439112776,74.82705870561071,75.23122480515696,42.0,1247.0,226.0,36.634198590119574,1871.0,49.0,18.0,5.060684630957051,3.1677380640299804
34,NHS Birmingham and Solihull ICB,2026.04.5,21.0,93.60829471702297,3.0,768.0,74.0,52.0,337.0,34.0,553.0,867.0,5.745569783575259,79.88646276421966,84.21854413950109,41.0,1200.0,242.0,42.02157443993061,1811.0,37.0,16.0,5.359272901576249,4.4149488201558205
35,NHS Birmingham and Solihull ICB,2026.04.5,30.0,87.70553126929082,2.0,869.0,108.0,48.0,353.0,38.0,567.0,881.0,3.873442078860628,75.61760638438624,82.02024537714682,30.0,1306.0,200.0,40.328023293164456,1755.0,29.0,20.0,5.549210673708029,3.589759144132436
36,NHS Birmingham and Solihull ICB,2026.04.5,43.0,85.57293986095469,2.0,874.0,79.0,53.0,385.0,34.0,572.0,950.0,6.183571967670801,81.54324710107562,82.40132728433856,40.0,1277.0,191.0,,1764.0,45.0,24.0,5.968972568200558,4.683660774172362
37,NHS Birmingham and Solihull ICB,2026.04.5,29.0,87.78138712536592,5.0,886.0,83.0,38.0,364.0,34.0,568.0,904.0,4.119673684636692,69.12536315353026,75.29920292001756,39.0,1170.0,207.0,38.59678865287065,1878.0,16.0,16.0,4.952051531836514,4.12763325700826
38,NHS Birmingham and Solihull ICB,2026.04.5,39.0,87.75595687494258,3.0,826.0,69.0,52.0,369.0,44.0,586.0,938.0,4.969703025096411,77.84958276317447,78.5176569206288,47.0,1321.0,217.0,42.09149909427152,1812.0,34.0,20.0,5.150959427617144,3.9430914666388577
39,NHS Birmingham and Solihull ICB,2026.04.5,46.0,82.75759188548851,3.0,826.0,128.0,47.0,427.0,47.0,531.0,928.0,5.293069490107606,81.85565042718275,82.87305751276214,38.0,1219.0,226.0,36.729906384581305,1694.0,32.0,18.0,5.485041864540436,3.9596493405312296
40,NHS Birmingham and Solihull ICB,2026.04.5,34.0,86.33042890595553,2.0,917.0,88.0,40.0,413.0,30.0,552.0,941.0,6.100014133833814,72.46998166426134,85.83949313130054,29.0,1153.0,249.0,40.27777912731429,1850.0,46.0,17.0,5.218046874208281,3.976623184144585
41,NHS Birmingham and Solihull ICB,2026.04.5,57.0,95.14951300393989,3.0,880.0,65.0,55.0,370.0,40.0,594.0,903.0,5.34060413441722,71.29477811036297,76.58565960300197,70.0,1267.0,213.0,40.246762666222764,1778.0,34.0,18.0,5.178040985098215,3.9400951429776248
42,NHS Birmingham and Solihull ICB,2026.04.5,38.0,82.64781493280371,5.0,877.0,88.0,58.0,399.0,24.0,503.0,848.0,4.7552351504974615,74.55203349268571,80.46555420800067,63.0,1277.0,231.0,34.99140189858807,1866.0,33.0,13.0,5.78362289076375,3.7382854892036463
43,NHS Birmingham and Solihull ICB,2026.04.5,38.0,89.60748569915631,4.0,833.0,54.0,46.0,402.0,40.0,542.0,926.0,5.122507762283009,74.70380539091977,80.30671031051818,47.0,1268.0,256.0,37.05515573648508,1981.0,33.0,19.0,5.723260640076482,3.7522209238872324
44,NHS Birmingham and Solihull ICB,2026.04.5,34.0,87.26495102181816,2.0,900.0,81.0,52.0,377.0,34.0,585.0,928.0,5.393303766656097,74.95752291732225,76.28333996026882,46.0,1157.0,239.0,36.467865574835024,1824.0,36.0,15.0,5.563721830041603,3.6966394552142905
45,NHS Birmingham and Solihull ICB,2026.04.5,39.0,88.57961243889801,4.0,856.0,82.0,42.0,348.0,44.0,581.0,865.0,4.45562439554723,78.19775681712446,76.61695897988758,33.0,1152.0,222.0,41.00412198130835,1926.0,41.0,13.0,5.083093183804154,3.8393142835308076
46,NHS Birmingham and Solihull ICB,2026.04.5,57.0,81.45810065615906,4.0,850.0,111.0,45.0,311.0,57.0,513.0,795.0,6.246829382810357,69.83555270587276,71.4343114621222,40.0,1234.0,244.0,42.99784849582168,1853.0,32.0,21.0,5.3186613087206185,3.9287590870419034
47,NHS Birmingham and Solihull ICB,2026.04.5,25.0,81.70264779672792,2.0,798.0,92.0,53.0,308.0,18.0,622.0,886.0,5.060180801688901,74.7291680883994,76.80070889520587,47.0,1219.0,233.0,42.84479811806053,1811.0,42.0,13.0,5.352782085206903,3.836661780513288
48,NHS Birmingham and Solihull ICB,2026.04.5,36.0,91.1064297057185,3.0,893.0,72.0,49.0,354.0,29.0,551.0,891.0,5.1025800194335575,72.70647187321876,82.10435535042762,42.0,1246.0,220.0,38.48346875742304,1963.0,26.0,19.0,5.405219118219504,4.242372988557842
49,NHS Birmingham and Solihull ICB,2026.04.5,32.0,85.48200514532832,1.0,929.0,105.0,42.0,407.0,36.0,514.0,860.0,5.240680741358789,75.06270292439828,81.08039031711681,35.0,1278.0,187.0,40.71987067489863,1742.0,32.0,16.0,4.999038567327137,4.000656355424164
50,NHS Birmingham and Solihull ICB,2026.04.5,36.0,85.30678105724475,5.0,879.0,104.0,56.0,447.0,23.0,529.0,952.0,6.002792371109541,75.86136161477161,75.70751312951109,20.0,1213.0,226.0,38.89946248999815,2090.0,33.0,10.0,4.956718870319983,4.136291588298022
51,NHS Birmingham and Solihull ICB,2026.04.5,51.0,87.6802647163638,0.0,888.0,94.0,52.0,354.0,28.0,548.0,919.0,5.2484928097722054,77.55695055058692,81.80948785628316,59.0,1183.0,243.0,37.93007560610447,1818.0,22.0,21.0,4.860046701803338,3.5307468371832327
52,NHS Birmingham and Solihull ICB,2026.04.5,27.0,90.6467012265843,1.0,861.0,68.0,58.0,376.0,26.0,528.0,851.0,4.367130305901058,79.54926424563756,76.15517828562847,49.0,1149.0,243.0,36.67942209682693,1897.0,36.0,16.0,5.645647306389432,4.164706212341106
53,NHS Birmingham and Solihull ICB,2026.04.5,37.0,86.57883195647153,5.0,827.0,51.0,42.0,384.0,21.0,543.0,926.0,3.9335732398625853,71.97577249881887,79.62547400176713,26.0,1208.0,200.0,44.73998111936532,1699.0,15.0,19.0,5.435786490141808,3.5277632882707937
54,NHS Birmingham and Solihull ICB,2026.04.5,36.0,84.65929918637549,3.0,824.0,48.0,33.0,300.0,,511.0,750.0,5.404592097482766,72.73036523417383,78.00134931019943,60.0,1171.0,216.0,36.40935805887089,1928.0,16.0,19.0,5.376413158237821,3.1234980485748984
55,NHS Birmingham and Solihull ICB,2026.04.5,43.0,84.50189564112864,2.0,886.0,40.0,36.0,422.0,24.0,606.0,978.0,4.469962397854048,77.52149919528439,77.32811794979422,30.0,1104.0,264.0,38.75816562245735,1888.0,34.0,8.0,5.278127895839904,3.337856334252335
56,NHS Birmingham and Solihull ICB,2026.04.5,23.0,90.04223904834723,3.0,874.0,74.0,54.0,379.0,29.0,601.0,986.0,4.551223629987285,68.72299450728026,75.98709157369663,22.0,1238.0,218.0,46.480932376596144,1794.0,27.0,25.0,5.319349764904626,3.676403451288192
57,NHS Birmingham and Solihull ICB,2026.04.5,37.0,83.92492453629148,6.0,845.0,60.0,43.0,366.0,32.0,560.0,886.0,5.285641210118347,76.33112575144865,79.52266356382803,22.0,1292.0,178.0,40.41777226497034,1921.0,13.0,21.0,6.177498925517686,3.6480576350322655
58,NHS Birmingham and Solihull ICB,2026.04.5,43.0,87.253068042066,1.0,808.0,101.0,55.0,325.0,33.0,571.0,845.0,6.086363012619658,74.4691548202134,73.725694102898,28.0,1211.0,198.0,46.36551019301244,1924.0,39.0,20.0,5.2856879561323655,3.6257606104660347
59,NHS Birmingham and Solihull ICB,2026.04.5,42.0,89.93173120954867,2.0,878.0,101.0,52.0,373.0,26.0,566.0,918.0,5.1266654070092885,75.81822683637023,79.7116055180267,46.0,1213.0,255.0,43.83119911870635,1796.0,44.0,21.0,5.217847940229243,3.4866807384889626
60,NHS Birmingham and Solihull ICB,2026.04.5,57.0,86.78081923406916,3.0,828.0,55.0,41.0,380.0,22.0,541.0,930.0,5.847766525093882,77.88460886778579,78.48812569192035,44.0,1202.0,272.0,40.538038849042394,1783.0,24.0,16.0,5.130525057939343,4.283698964819126
61,NHS Birmingham and Solihull ICB,2026.04.5,54.0,83.1946621522505,4.0,840.0,62.0,32.0,387.0,26.0,523.0,873.0,6.662134433996798,77.26027523169168,83.21407580704431,60.0,1293.0,180.0,41.32217057107813,1947.0,18.0,27.0,5.0668115728831715,4.455066578450556
62,NHS Birmingham and Solihull ICB,2026.04.5,53.0,85.84124379079823,0.0,815.0,77.0,48.0,368.0,28.0,522.0,898.0,5.937436760201189,75.67870575452311,77.31463149680211,36.0,1215.0,217.0,39.30327588030148,1833.0,21.0,13.0,5.050073709075847,3.138635428097113
63,NHS Birmingham and Solihull ICB,2026.04.5,41.0,88.45256547591785,4.0,832.0,82.0,49.0,349.0,45.0,562.0,948.0,5.691229001991924,82.59271338345602,80.88754160292048,42.0,1253.0,217.0,37.795375193084716,1942.0,44.0,21.0,5.441813945487723,4.361882748247159
64,NHS Birmingham and Solihull ICB,2026.04.5,30.0,88.2703540956435,5.0,834.0,68.0,46.0,326.0,52.0,572.0,875.0,5.092370095628605,72.35849948255176,82.89979870097662,65.0,1132.0,168.0,39.715733222484914,1792.0,28.0,16.0,4.692481983654452,4.22804593938765
65,NHS Birmingham and Solihull ICB,2026.04.5,38.0,88.39601197236402,10.0,825.0,73.0,43.0,326.0,38.0,522.0,831.0,5.166501472305385,77.24670776153229,80.33492765714088,31.0,1319.0,240.0,37.530804122062335,1881.0,17.0,14.0,4.921012771196442,4.236077530750062
66,NHS Birmingham and Solihull ICB,2026.04.5,39.0,89.02469244058888,4.0,853.0,98.0,53.0,325.0,24.0,525.0,836.0,6.025673598554524,69.93238282161795,84.76931821974489,44.0,1109.0,184.0,41.17731426382254,1805.0,31.0,17.0,5.750809252714098,4.254950858167652
67,NHS Birmingham and Solihull ICB,2026.04.5,19.0,87.0581901718725,4.0,884.0,76.0,40.0,404.0,26.0,505.0,904.0,3.5560439960231385,79.91212107441709,79.1450642030868,25.0,1273.0,239.0,45.336033428011305,1680.0,26.0,13.0,5.461479482464008,3.631381169074622
68,NHS Birmingham and Solihull ICB,2026.04.5,17.0,83.69965703897591,3.0,817.0,47.0,42.0,342.0,50.0,544.0,898.0,4.984544919902708,75.74989165641527,73.09836943031146,46.0,1201.0,201.0,39.23954272671808,1854.0,31.0,16.0,5.33782310316473,3.4953929282915026
69,NHS Birmingham and Solihull ICB,2026.04.5,33.0,85.02621499987357,1.0,793.0,72.0,36.0,333.0,,499.0,845.0,3.3246012632970388,70.11762975295444,78.19372992943663,44.0,1281.0,205.0,41.671804439156226,1641.0,23.0,17.0,4.987429616543829,3.449621841577805
70,NHS Birmingham and Solihull ICB,2026.04.5,38.0,81.78281066467422,3.0,786.0,45.0,43.0,341.0,34.0,532.0,854.0,3.8374927508767915,72.95914683083295,78.31271229878342,32.0,1240.0,234.0,37.454291351372476,1759.0,22.0,15.0,4.989813778406999,3.6715494741417842
71,NHS Birmingham and Solihull ICB,2026.04.5,18.0,78.94853235792532,3.0,800.0,81.0,49.0,383.0,20.0,550.0,891.0,4.994694708975252,72.70613273725232,81.71364781226443,51.0,1087.0,239.0,42.6063246237754,1860.0,28.0,8.0,5.3980440976125115,3.6477116735534896
72,NHS Birmingham and Solihull ICB,2026.04.5,23.0,87.68104827455714,2.0,863.0,71.0,40.0,324.0,24.0,521.0,838.0,5.660305979705495,69.17760734645087,80.73461792834013,36.0,1261.0,162.0,44.21863579406088,1939.0,28.0,14.0,5.031309065122578,3.644269280012229
73,NHS Birmingham and Solihull ICB,2026.04.5,12.0,89.56108879087698,1.0,772.0,78.0,38.0,340.0,9.0,519.0,838.0,3.7600135045983385,67.87103530795963,73.2338751843374,27.0,1168.0,280.0,43.18782569614455,1929.0,26.0,17.0,5.105825287341187,3.9519254821157976
74,NHS Birmingham and Solihull ICB,2026.04.5,25.0,84.86171653915206,0.0,851.0,81.0,60.0,376.0,29.0,489.0,846.0,4.873320452346744,68.83719088798007,80.97705261671186,32.0,1266.0,216.0,40.63050775723502,1921.0,31.0,19.0,6.093137672632342,3.83507556999146
75,NHS Birmingham and Solihull ICB,2026.04.5,34.0,85.09608411144134,1.0,890.0,58.0,53.0,338.0,30.0,588.0,929.0,4.6148486456715245,77.11081451573732,79.7195851724313,27.0,1252.0,188.0,,1969.0,32.0,23.0,5.12346907064363,3.289081201615342
76,NHS Birmingham and Solihull ICB,2026.04.5,13.0,83.07591994684505,2.0,773.0,83.0,47.0,383.0,17.0,484.0,868.0,4.269346947033529,74.47884954902023,77.12146962193606,34.0,1243.0,205.0,39.81545951661841,1870.0,18.0,17.0,5.298317090553231,3.249847106001047
77,NHS Birmingham and Solihull ICB,2026.04.5,54.0,89.22235872218423,5.0,833.0,55.0,42.0,361.0,27.0,493.0,860.0,4.9808968297008755,66.80653881737418,82.21995483524677,29.0,1209.0,213.0,43.0105453841148,1659.0,23.0,18.0,4.770280131649101,4.304467028754409
78,NHS Birmingham and Solihull ICB,2026.04.5,34.0,87.48596394536699,4.0,886.0,100.0,46.0,385.0,38.0,503.0,858.0,5.324979301733711,78.83422457502466,77.23087136462333,45.0,1287.0,199.0,42.51260309930114,1683.0,25.0,23.0,5.36717732154934,4.415419940331729
79,NHS Birmingham and Solihull ICB,2026.04.5,27.0,90.79375287881267,3.0,880.0,62.0,49.0,345.0,26.0,530.0,859.0,3.649414442246623,72.36535487759505,82.0364985306267,32.0,1152.0,195.0,39.62126197420619,1646.0,20.0,15.0,5.351706757809918,3.9609356585273936
80,NHS Birmingham and Solihull ICB,2026.04.5,32.0,87.18734694407564,1.0,821.0,72.0,30.0,283.0,23.0,555.0,844.0,5.099109326384826,78.48176721572142,79.24081202641483,53.0,1267.0,200.0,42.552789289657106,1963.0,36.0,19.0,4.51998932610247,4.051122852350078
81,NHS Birmingham and Solihull ICB,2026.04.5,,88.34563186866625,4.0,855.0,121.0,47.0,361.0,36.0,511.0,875.0,4.642797791076273,79.43615009670792,81.07368694553931,72.0,1270.0,211.0,44.12786188220453,1981.0,50.0,15.0,5.628750070476791,3.5924530238309096
82,NHS Birmingham and Solihull ICB,2026.04.5,40.0,86.98036342465748,4.0,817.0,72.0,52.0,379.0,41.0,590.0,974.0,4.831560650181542,72.107874387646,82.15852411813889,48.0,1283.0,166.0,44.821666487258305,1752.0,36.0,18.0,5.310948043594256,3.3032045587862404
83,NHS Birmingham and Solihull ICB,2026.04.5,24.0,85.94148003634294,6.0,848.0,58.0,50.0,363.0,29.0,599.0,912.0,5.304611013845035,78.34631319649172,77.19113572362755,51.0,1278.0,223.0,39.65385482504246,1847.0,28.0,14.0,5.599574838795705,3.9845775811979087
84,NHS Birmingham and Solihull ICB,2026.04.5,33.0,80.86460396287723,2.0,819.0,89.0,56.0,405.0,22.0,574.0,970.0,5.755272317801212,71.26467481022652,79.63245056222262,27.0,1281.0,249.0,41.62606152241604,1917.0,38.0,30.0,5.293100505196708,3.5512420087333028
85,NHS Birmingham and Solihull ICB,2026.04.5,43.0,86.5155259265744,4.0,862.0,110.0,38.0,314.0,37.0,528.0,827.0,6.048597884751782,79.36391249342093,81.76583165051798,41.0,1181.0,235.0,44.97531702228508,1861.0,38.0,17.0,5.5988381195743075,3.588939923612404
86,NHS Birmingham and Solihull ICB,2026.04.5,20.0,88.21040965931242,0.0,768.0,40.0,39.0,319.0,19.0,564.0,857.0,4.518619159413233,77.20027782183749,77.25519863148342,26.0,1157.0,218.0,43.0775168864492,1778.0,19.0,14.0,5.445385971705874,3.548442016339986
87,NHS Birmingham and Solihull ICB,2026.04.5,22.0,80.67056645026163,0.0,779.0,69.0,26.0,356.0,5.0,549.0,955.0,5.0500400271336385,80.34751655722194,77.62380786484809,16.0,1204.0,285.0,44.879122168974774,1795.0,35.0,11.0,5.615821038136303,4.042096340576245
88,NHS Birmingham and Solihull ICB,2026.04.5,7.0,76.6843440338351,0.0,791.0,60.0,47.0,383.0,25.0,490.0,857.0,3.9368636319596333,71.62016996213558,79.22408658590119,12.0,1212.0,265.0,40.727512598727564,1788.0,20.0,13.0,5.74785245968789,3.75532433239847
89,NHS Birmingham and Solihull ICB,2026.04.5,23.0,83.16003919555574,2.0,796.0,75.0,55.0,326.0,39.0,474.0,808.0,4.673778692863965,65.678868607791,77.6422170088922,39.0,1192.0,209.0,43.85827819572926,1714.0,26.0,15.0,5.063276462572927,2.8612340183031817
90,NHS Birmingham and Solihull ICB,2026.04.5,28.0,90.05576451545984,3.0,820.0,49.0,45.0,353.0,42.0,539.0,844.0,5.383083608149318,75.31108463415073,75.27786226968537,35.0,1241.0,199.0,40.831127173028676,1953.0,39.0,18.0,5.099617712180014,3.4957776301873165
91,NHS Birmingham and Solihull ICB,2026.04.5,33.0,91.51456205082125,1.0,862.0,74.0,44.0,397.0,25.0,481.0,867.0,4.171807658667591,79.27538595271174,81.46235258672097,42.0,1217.0,206.0,45.178278269657795,1840.0,32.0,10.0,4.791062421760448,3.9479569462574204
92,NHS Birmingham and Solihull ICB,2026.04.5,27.0,81.074874735633,3.0,838.0,74.0,45.0,322.0,30.0,554.0,876.0,5.3713743487805665,64.74141028460065,79.53101235508196,39.0,1265.0,232.0,40.600372255130644,1889.0,26.0,12.0,5.842591265345758,3.6901814052714923
